Command,Exit description,Execution Time,Intended Timeout, MAX RSS (MB)
Concurrent group with total timeout 20.000000 sec
"/usr/local/bin/imtool list",Never got executed,0.00,20.000000
"/usr/local/bin/idstool list",Never got executed,0.00,20.000000
"/usr/local/bin/imtool info",Never got executed,0.00,20.000000
"/usr/local/bin/idstool info",Never got executed,0.00,20.000000


Concurrent group with total timeout 10.000000 sec
"/bin/launchctl list",Never got executed,0.00,10.000000
"/bin/launchctl print system/",Never got executed,0.00,10.000000
"/bin/launchctl dumpstate",Never got executed,0.00,10.000000

"/usr/local/bin/spuctl --sysdiagnose",Never got executed,0.00,5.000000
"/usr/sbin/otctl status --json","exited with status 0",0.360909,3.000000,4.562500
"/usr/bin/cryptexctl dumpstate",Never got executed,0.00,2.000000
"/usr/libexec/atcrtcomm /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_02-56-35+0300_iPhone-OS_iPhone_24A5390f.tmp/atcrtcomm_sysdiagnose_temp.BShuny/atcrtcomm","exited with status 1",0.087870,5.000000,1.328125
"/usr/libexec/swtransparency-sysdiagnose","exited with status 0",0.295203,3.000000,2.109375

Concurrent group with total timeout 10.000000 sec
"/usr/bin/tbtdiagnose",Never got executed,0.00,10.000000
"/usr/bin/hpmdiagnose","exited with status 0",1.404629,10.000000,2.078125

"/System/Library/PrivateFrameworks/IOSurfaceAccelerator.framework/Resources/IOSADiagnose","exited with status 0",0.557215,5.000000,1.531250
"/usr/libexec/corebrightnessdiag nightshift-internal","exited with status 0",0.525526,1.000000,3.625000
"/usr/bin/modelmanagerdump","exited with status 0",0.495007,2.000000,3.156250
"/System/Library/Frameworks/Accounts.framework/Support/acdiagnose","exited with status 0",0.343008,3.000000,1.593750
"/usr/bin/umtool sysdiagnose","exited with status 0",0.767334,5.000000,2.093750
"/usr/bin/appprotectiondiagnose diagnostics","exited with status 0",0.478578,1.000000,2.015625
"/System/Library/Frameworks/SensorKit.framework/Support/srsupporttool diagnostics -output /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_02-56-35+0300_iPhone-OS_iPhone_24A5390f.tmp/SensorKit_sysdiagnose_temp.GqdvqX/SensorKit/logs/SensorKit","exited with status 0",0.634523,5.000000,2.625000
"/usr/bin/searchdiagnose --mode sysdiagnose -o /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_02-56-35+0300_iPhone-OS_iPhone_24A5390f.tmp/Search_sysdiagnose_temp.WyDS3A/Search","exited with status 0",0.805775,11.000000,3.078125
"/usr/bin/afktool --role all -a registry -p /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_02-56-35+0300_iPhone-OS_iPhone_24A5390f.tmp/AFK_sysdiagnose_temp.GJO4OE/AFK --format bin","exited with status 0",0.795659,5.000000,3.609375
"/System/Library/Filesystems/apfs.fs/apfs_stats","exited with status 0",1.385302,3.000000,1.812500
"/usr/libexec/pmudiagnose/pmudiagnose","exited with status 0",0.893174,2.000000,1.531250

Concurrent group with total timeout 5.000000 sec
"/System/Library/PrivateFrameworks/RemoteManagement.framework/rmdinspect report --scope system","exited with status 0",1.266749,5.000000,7.000000
"/System/Library/PrivateFrameworks/RemoteManagement.framework/rmdinspect report --scope user","exited with status 0",0.059465,5.000000,4.906250

"/usr/bin/csfdiagnose --networking false --sysd --json","exited with status 0",1.000660,2.000000,5.828125
"/System/Library/Frameworks/SystemConfiguration.framework/get-network-info -c /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_02-56-35+0300_iPhone-OS_iPhone_24A5390f.tmp/Networking_sysdiagnose_temp.uEb424/Networking","exited with status 0",2.069079,100.000000,3.906250
"/System/Library/PrivateFrameworks/SharedWebCredentials.framework/Support/swcutil show --verbose","exited with status 0",1.677074,5.000000,1.718750
"/System/Library/Frameworks/ManagedSettings.framework/managedsettingsdiagnoticstool diagnostics --diagnostics-path /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_02-56-35+0300_iPhone-OS_iPhone_24A5390f.tmp/ManagedSettings_sysdiagnose_temp.5D00Rq/ManagedSettings","exited with status 0",1.633070,2.000000,4.250000
"/usr/libexec/transparency-sysdiagnose","exited with status 0",2.590144,3.000000,3.312500
"/usr/sbin/ckksctl status --json","exited with status 0",3.285153,3.000000,7.812500
"/usr/sbin/spindump -oslog -microstackshots_only -microstackshots_save -microstackshots_datastore /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_02-56-35+0300_iPhone-OS_iPhone_24A5390f.tmp/unnamed_tasks_sysdiagnose_temp.GWLqbE/unnamed_tasks/microstackshots -microstackshots_starttime 1785887795 -microstackshots_endtime 1786146995","exited with status 0",3.458503,45.000000,3.562500
"/usr/bin/brctl diagnose --sysdiagnose /private/var/mobile/Library/Logs/CrashReporter/Cloud/clouddocs_2026.08.08_02-56-35+0300","exited with status 0",4.361729,30.000000,4.828125

Concurrent group with total timeout 30.000000 sec
"/usr/sbin/ioreg -z -i -l -p IOService -w 0","exited with status 0",5.856511,30.000000,3.593750
"/usr/sbin/ioreg -z -i -l -p IOACPIPlane -w 0","exited with status 0",0.031742,30.000000,2.359375
"/usr/sbin/ioreg -z -i -l -p IOPower -w 0","exited with status 0",0.670634,30.000000,2.781250
"/usr/sbin/ioreg -z -i -l -p IODeviceTree -w 0","exited with status 0",0.356317,30.000000,2.828125
"/usr/sbin/ioreg -z -i -l -p IOUSB -w 0","exited with status 0",0.038862,30.000000,2.359375
"/usr/sbin/ioreg -z -i -l -p IOFireWire -w 0","exited with status 0",0.039037,30.000000,2.359375
"/usr/sbin/ioreg -z -i -l -p IOPort -w 0","exited with status 0",0.043950,30.000000,2.343750
"/usr/sbin/ioreg -a -w0 -x 0","exited with status 1",0.060360,30.000000,2.140625


Concurrent group with total timeout 25.000000 sec
"/usr/bin/codecctl -c 1 -a","exited with status 0",0.826846,25.000000,1.640625
"/usr/libexec/security-sysdiagnose","exited with status 0",3.615718,25.000000,9.046875
"/usr/libexec/pcsstatus --json capture output","exited with status 0",11.706872,25.000000,6.187500
"/usr/bin/hidutil dump","exited with status 0",0.640007,25.000000,3.765625

"/usr/bin/lsdiagnose","exited with status 0",19.401963,60.000000,154.546875
"/usr/bin/modelcatalogdump","exited with status 0",20.257340,2.000000,20.828125

Concurrent group with total timeout 5.000000 sec
"/usr/bin/fileproviderctl diagnose --limit-dump-size -o /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_02-56-35+0300_iPhone-OS_iPhone_24A5390f.tmp/FileProvider_sysdiagnose_temp.3Dq8a7/FileProvider","exited with status 0",8.832177,5.000000,5.031250
"/usr/bin/fileproviderctl check -v -o /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_02-56-35+0300_iPhone-OS_iPhone_24A5390f.tmp/FileProvider_sysdiagnose_temp.3Dq8a7/FileProvider/fileproviderctl_check.log","exited with status 65",24.291215,5.000000,3.000000


Concurrent group with total timeout 35.000000 sec
"/usr/bin/log config --status",Never got executed,0.00,35.000000
"/bin/ls -lRsh /private/var/db/diagnostics",Never got executed,0.00,35.000000
"/bin/ls -lRsh /private/var/db/uuidtext",Never got executed,0.00,35.000000

