## smcDiagnose 5.00 200
TIME_DIFF ,0.000000
B0CV , 4303.000000
B0D1 , 0x83 01 00 00 
B0DC , 4395.000000
B0FC , 3914.000000
B0FG , 0x80 20 00 00 00 00 00 00  
B0FH , 0xff ff 00 00 00 00 00 00  
B0FI , 0x80 20 
B0FV , 0xd5 6d 80 06 
B0HM , 121.000000
B0I2 , 0.000000
B0ID , 0xb3 74 4a 54 
B0IF , 322.000000
B0IM , -30000.000000
B0IS , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
B0IV , 835.000000
B0LP , 0.000000
B0MS , 47139.000000
B0NC , 3801.000000
B0ND , 0x00 00 00 00 00 00 
B0NM , 341.000000
B0OC , 0.000000
B0OV , 4347.000000
B0QD , 1.000000
B0QS , 418.000000
B0R1 , 0x00 4f 00 6e 00 7e 00 6d  00 7e 00 62 00 7a 00 80  00 85 00 92 00 9b 00 98  00 aa 01 4d 05 ec 00 00  
B0RM , 3496.000000
B0RS , 1000.000000
B0S1 , 3430.000000
B0SC , 82.000000
B0SD , 208.000000
B0SE , 92.000000
B0SL , 8242.000000
B0SR , 999.000000
B0SS , 92.000000
B0TC , 3495.000000
B0TE , 789.000000
B0TF , 28.000000
B0TI , 65535.000000
B0TP , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
B0Ti , 0.000000
B0UC , 90.000000
B0VC , 3000.000000
B0WD , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
B1SS , 92.000000
B1TI , 65535.000000
B1WI , 10.000000
BAAC , 431031.000000
BACC , 361.000000
BAPS , 1.000000
BATC , 0x01 
BATD , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
BATN , 0.000000
BATW , 0.000000
BBAD , 0.000000
BC1V , 4367.000000
BCF0 , 0x00 
BCFP , 0.000000
BCFQ , 1.000000
BCFR , 0x00 
BCFW , 0x00 
BCSL , 0.000000
BDAQ , 0.000000
BDBI , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 
BDD1 , 2879.000000
BDDE , 1280.000000
BDFU , 0x80 0a b2 2c 00 00 00 00  
BFC1 , 3914.000000
BFC2 , 3914.000000
BFFH , 0x0b 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
BFFS , 0xff 00 00 00 00 00 00 00  
BFLE , 1029.000000
BFLF , 0.000000
BFLV , 0.000000
BFS0 , 54.000000
BFUC , 0x00 
BFUD , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
BGRA , 0.000000
BI01 , 867.000000
BI02 , 867.000000
BI03 , 790.000000
BI04 , 988.000000
BISS , 329.000000
BLCC , 18.000000
BLFM , 2225.000000
BLFX , 4581.000000
BLH0 , 26.000000
BLH1 , 45.000000
BLH2 , 13.000000
BLH3 , 2.000000
BLIC , 5911.000000
BLID , -7758.000000
BLNM , 3776.000000
BLNX , 4538.000000
BLPM , 2910.000000
BLPX , 4484.000000
BLQM , 4288.000000
BLQX , 4611.000000
BLRC , 0.000000
BLRD , 0x01 00 00 00 00 00 00 00  00 00 08 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
BLRE , 0.000000
BLRF , 0.000000
BLRG , 0.000000
BLRH , 1.000000
BLRI , 0.000000
BLRR , 0x08 
BLRS , 0.000000
BLRW , 0.000000
BLSC , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
BLSD , 79014.000000
BLSE , 50.000000
BLSF , 358.000000
BLSG , 21.000000
BLSH , 65535.000000
BLTA , 29.000000
BLTM , -1.000000
BLTO , 18598.000000
BLTP , 0x1a 00 00 00 2d 00 00 00  0d 00 00 00 02 00 00 00  00 00 00 00 16 02 00 00  4a 02 00 00 c6 00 00 00  1c 00 00 00 03 00 00 00  
BLTS , 66953462.000000
BLTV , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  07 00 00 00 2e 00 00 00  00 00 00 00 00 00 00 00  10 00 00 00 00 00 00 00  00 00 00 00 01 00 00 00  00 00 00 00 53 02 00 00  8e 01 00 00 2f 00 00 00  e5 02 00 00 ab 01 00 00  61 00 00 00 97 02 00 00  ee 02 00 00 
BLTW , 1.000000
BLTX , 525.000000
BLTY , 0.000000
BLTZ , 0.000000
BMCD , 0.000000
BMDA , 0x44 4b 33 48 35 5a 30 30  4c 58 43 30 30 30 30 30  50 36 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
BMDB , 0x37 34 31 2d 30 31 34 33  38 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
BMDN , 0x56 65 72 69 64 69 61 6e  00 00 
BMDT , 0x39 30 30 36 31 38 00 
BMSC , 89.000000
BMSN , 0x46 47 39 48 37 37 30 30  31 41 46 30 30 30 30 36  54 56 00 00 00 
BMW1 , 0x48 35 37 00 
BMW2 , 0x00 00 00 00 
BNCB , 1.000000
BNSC , 86.000000
BNUM , 1.000000
BOCV , 0.000000
BOSD , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
BOSW , 0x00 
BPCC , 0x01 01 
BPRS , 0x00 00 00 00 55 ce ac e0  a3 ee 5c 7f ff 20 45 6e  90 84 6c 4a 37 e2 23 c0  a4 f4 a4 93 55 55 55 55  
BQCC , 153.000000
BQD1 , 2294.000000
BQX1 , 4289.000000
BR00 , 79.000000
BR01 , 110.000000
BR02 , 126.000000
BR03 , 109.000000
BR04 , 126.000000
BR05 , 98.000000
BR06 , 122.000000
BR07 , 128.000000
BR08 , 133.000000
BR09 , 146.000000
BR0C , 115.000000
BR0W , 115.000000
BR10 , 155.000000
BR11 , 152.000000
BR12 , 170.000000
BR13 , 333.000000
BR14 , 1516.000000
BR1W , 115.000000
BRC0 , 0.000000
BRC1 , 0.000000
BROS , 50.000000
BRSC , 89.000000
BRSS , 91.000000
BSFC , 0.000000
BT0C , 0.000000
BT0L , 1.000000
BT0V , 1.000000
BTHC , 0.000000
BTHW , 0.000000
BTIL , 1520.000000
BTRA , 0x0a 0a 0a 0a 0a 0a 0a 14  28 28 1e 1e 14 14 14 32  32 28 28 1e 1e 14 3c 3c  32 32 28 28 14 82 82 64  64 46 28 14 82 82 64 64  46 28 14 82 82 64 64 46  28 14 82 82 64 64 46 28  14 82 82 64 64 46 28 14  82 82 64 64 46 28 
BTRO , 0.000000
BTRS , 100.000000
BTRT , 0.400000
BTSI , 1520.000000
BTSV , 4420.000000
BTTA , 0x0a 00 0f 00 12 00 16 00  25 00 2d 00 2d 00 2d 00  2d 00 2d 00 
BTTC , 10.000000
BTTI , 4.000000
BTTS , 0.000000
BTVA , 0xb8 0b e6 0f 04 10 36 10  68 10 cc 10 80 11 
BTVC , 7.000000
BTVI , 6.000000
BTVL , 4480.000000
BUIC , 90.000000
BUPT , 0x69 01 00 00 00 00 00 00  
BVCA , 0xc6 00 f8 00 2a 01 e9 03  ff ff 
BVHA , 0x1c 02 8f 02 02 03 75 03  ff ff 
BVVA , 0x80 11 6c 11 58 11 44 11  12 11 
BVVC , 0x09 00 0d 00 18 00 2d 00  52 00 08 00 0c 00 17 00  2a 00 3c 00 
BVVI , 3.000000
BVVL , 4420.000000
BVVM , 4420.000000
BVVN , 4420.000000
BVVO , 4480.000000
BVVP , 4420.000000
BVVQ , 0.000000
BVVR , 4420.000000
BfDC , 16000.000000
BfRM , 14400.000000
BfSC , 90.000000
BnDC , 19000.000000
CBCL , 4294967295.000000
CBSC , 16.000000
CBSV , 4.000000
CBTC , 1.000000
CH0D , 0xff ff ff ff 
CH0E , 0x00 00 00 00 00 00 00 00  
CH0H , 184.000000
CH0J , 0.000000
CH0R , 0x00 00 00 00 
CH0V , 4367.000000
CHA1 , 2920.000000
CHA2 , 2920.000000
CHAI , 16384.000000
CHAS , 2920.000000
CHBI , 1489.000000
CHBV , 4431.000000
CHCC , 1.000000
CHCE , 1.000000
CHCF , 0x03 
CHCR , 1.000000
CHDB , 0x00 00 
CHFS , 3.000000
CHHC , 0.000000
CHI1 , 3000.000000
CHI2 , 3000.000000
CHIB , 0.000000
CHIC , 0.000000
CHIE , 0x00 
CHIF , 1.000000
CHIL , 0.000000
CHIM , 5000.000000
CHIO , 0.000000
CHIS , 1.000000
CHLS , 0x5f 05 
CHLT , 0x5f 05 00 
CHM2 , 0x00 00 00 00 00 00 00 00  00 00 00 00 
CHNC , 0x00 00 00 00 00 00 00 00  
CHOC , 0.000000
CHPS , 1.000000
CHQi , 1.691986
CHQv , 4.681992
CHQw , 0.000000
CHRT , 0.000000
CHSC , 1.000000
CHSE , 0.000000
CHSL , 0x0a 00 a6 1d 12 c0 d5 04  0f d1 05 f1 08 14 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  03 03 79 09 00 00 00 00  00 00 01 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
CHST , 0.000000
CHSW , 0x00 00 00 00 00 00 00 00  
CHTC , 0.000000
CIP0 , 6661.000000
CIPC , 1.000000
CIPE , 0.000000
CIPF , 0.000000
CIPI , 3000.000000
CIPP , 15000.000000
CIPR , 255.000000
CIPV , 5000.000000
CIPW , 30000.000000
CLKo , 0xab e3 3c b7 81 33 
D1AP , 1.000000
D1Ac , 0x00 00 00 00 
D1BD , 11.000000
D1BI , 1500.000000
D1CA , 0.000000
D1CD , 0.000000
D1CF , 1.000000
D1CR , 0.000000
D1CS , 0.000000
D1CT , 0.000000
D1CU , 0.000000
D1CX , 2.000000
D1CY , 9.000000
D1CZ , 0.000000
D1Cb , 0.000000
D1Cc , 0.000000
D1Cf , 0.000000
D1Ci , 0.000000
D1Cm , 0.000000
D1Cn , 0.000000
D1Cr , 0.000000
D1Cs , 0.000000
D1Ct , 1.000000
D1Cv , 0.000000
D1Cw , 0.000000
D1DA , 0x00 0d 
D1DB , 0x00 
D1DE , 0x75 73 62 20 68 6f 73 74  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D1DI , 7.000000
D1DP , 0x00 00 00 00 00 00 00 00  
D1DR , 1.000000
D1Dp , 0.000000
D1EC , 0.000000
D1EF , 0x00 00 00 00 
D1Ep , 0.000000
D1FC , 3758112777.000000
D1FS , 0x0c 
D1FV , 0x00 20 91 00 
D1ID , 0.000000
D1IQ , 0xff ff 07 00 00 00 02 00  00 00 04 00 00 00 00 00  01 00 00 00 01 00 03 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  0d 00 
D1IR , 3000.000000
D1JA , 4500.000000
D1JB , 4500.000000
D1JD , 0x94 11 00 00 94 11 00 00  94 11 94 11 00 00 00 00  94 11 00 00 00 
D1JE , 0.000000
D1JF , 0.000000
D1JG , 0.000000
D1JI , 0.000000
D1JM , 4500.000000
D1JN , 4500.000000
D1JP , 1.000000
D1JQ , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 01 
D1JR , 4500.000000
D1JS , 4500.000000
D1JV , 0.000000
D1LC , 1.000000
D1LG , 0x1a 00 5f 5e 00 5f f1 01  1a 30 02 5f 02 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D1LI , 13.000000
D1LR , 0.000000
D1MI , 3000.000000
D1MP , 14250.000000
D1MV , 4750.000000
D1PI , -1.000000
D1PM , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 
D1PR , 0.000000
D1PS , 255.000000
D1PT , 1.000000
D1Pd , 0x00 00 
D1Pe , 0x00 00 
D1Pi , 0.000000
D1Ps , 255.000000
D1Pt , 4.000000
D1Rc , 2.000000
D1Rp , 3000.000000
D1ST , 14.000000
D1SW , 80.000000
D1St , 0x11 00 
D1UI , 0xd9 ae 2f 0e e7 69 ef 5a  b9 be ae 2f e6 04 6f 55  
D1VD , 0.000000
D1VM , 4750.000000
D1VR , 5000.000000
D1VX , 5250.000000
D1Vb , 1.000000
D1Vd , 0x00 00 
D1Ve , 0x00 00 
D1Vm , 0.000000
D1Vn , 0.000000
D1WS , 0.000000
D1if , 0x00 00 00 00 00 00 00 00  00 00 00 00 
D1ih , 0x00 00 00 00 00 00 00 00  00 00 00 00 
D1ii , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D1im , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D1in , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D1is , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D1lg , 0x1a 31 3f e3 bb a0 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 
D1li , 6.000000
D1os , 0xdc 05 88 13 00 00 00 00  00 40 00 e0 
D1pd , 1.000000
D1pi , 0.000000
D1pr , 0.000000
D1pt , 2.000000
D2AP , 0.000000
D2AR , 440.000000
D2BD , 0.000000
D2CC , 0.000000
D2CE , 0.000000
D2DB , 0x00 
D2DE , 0x62 61 74 74 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D2ER , 0.000000
D2FC , 0.000000
D2ID , 0.000000
D2IG , 0.000000
D2IR , 0.000000
D2SD , 0.000000
D2UD , 0.000000
D2VR , 5000.000000
D2if , 0x00 00 00 00 00 00 00 00  00 00 00 00 
D2ih , 0x00 00 00 00 00 00 00 00  00 00 00 00 
D2ii , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D2im , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D2in , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D2is , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D2pt , 0.000000
DBCF , 134.000000
DBTE , 1.000000
DCAL , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
DPBS , 4500.000000
DPBW , 4500.000000
EVPF , 0x02 08 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
GBRW , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
GGRC , 0.000000
GRRD , 0.000000
IBat , 0.000000
IP0b , 0.112380
IP1b , 0.008090
IP2b , 0.102829
IP4b , 0.000000
IP7b , 0.000000
IPab , 0.247949
IPbb , 1.071436
IPdb , 0.000000
IQ0B , 1.074997
IQ0u , 1.674988
Ib1f , 0.000000
KDBG , 1.000000
KDTP , 1.000000
KEV0 , 1.000000
KINC , 150.000000
KINV , 0x7a 45 50 45 
KINX , 0x7a 45 50 45 
LCAD , 16.000000
LCAE , 0.000000
LDKN , 3.000000
LGDA , 12581376000.000000
LGDD , 0x49 4e 49 54 00 00 00 00  00 04 01 00 00 00 00 00  00 00 00 00 ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  ff ff ff ff ff ff ff ff  00 00 00 00 
LGDE , 0x00 10 00 00 00 
LGDS , 1024.000000
LOGS , 79.000000
LPMI , 0.000000
LPMS , 0.000000
LPMc , 0x00 00 00 00 
MBSE , 0xfe 00 00 00 
MBSW , 0x00 00 00 00 00 00 00 00  
MBSe , 0x00 00 00 00 00 00 00 00  
MDSV , 0x00 00 06 07 01 04 00 04  00 
MEKV , 24.000000
MEPS , 0x00 04 00 04 00 04 
MESS , 0.000000
MEST , 0x00 00 00 00 00 00 00 00  
MEWE , 1.000000
MGNT , -1.000000
MPPR , 1.000000
MSAL , 0x08 
MSAM , 1.000000
MSAN , 361.000000
MSAO , 362.000000
MSAR , 0.000000
MSAS , 3.000000
MSAT , 3.000000
MSAU , 0.000000
MSAV , 0.000000
MSMV , 10.000000
MSOC , 31.000000
MSSC , 0.000000
MSSK , 0.000000
MSSM , 0.000000
MST3 , 0.000000
MST6 , 0.000000
MSTC , 0.000000
MSTD , 0.000000
MSXP , 0.000000
MSXU , 0x00 00 
MSXZ , 0.000000
MSXb , 0.000000
MSXm , 8.000000
NAd1 , 0x00 00 00 00 00 00 00 00  
NAd2 , 0x00 00 00 00 00 00 00 00  
NAk1 , 0x00 00 00 00 
NAk2 , 0x00 00 00 00 
NAt1 , 0.000000
NAt2 , 0.000000
NFCC , 1.000000
NFCD , 1.000000
NFCP , 0.000000
NFCS , 1.000000
NFCT , 0.000000
NTAP , 1.000000
P01S , 0.471000
P1KM , 0.562000
P1MS , 0.000000
PBat , 0.000000
PCDP , 0.000000
PGDP , 0.001000
PHS1 , 0.524000
PHS2 , 0.531000
PHS3 , 0.513000
PHS4 , 0.509000
PP0b , 0.028675
PP1b , 0.000000
PP2b , 0.052912
PP4b , 0.000000
PP7b , 0.000000
PPZM , 0.000000
PPab , 0.215527
PPbb , 0.856008
PPdb , 0.000000
PZC0 , 1.335550
PZC1 , 1.369115
PZCB , 0.246278
PZCU , 0.034650
PZD1 , 0.150258
Pb0f , 0.000000
Pb1f , 0.000000
Pb2f , 0.004004
Pb3f , 0.748600
PwrB , 4500.000000
PwrS , 0.000000
PwrT , 110.000000
QA0u , 1687.000000
QQ0u , 1.083755
RBID , 6.000000
RBRV , 15.000000
RCID , 33072.000000
RCRV , 17.000000
RECI , 7887630331084828.000000
RESV , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
RGEN , 4.000000
RPF0 , 0.000000
RPlt , 0x64 38 34 00 00 00 00 00  
RUID , 0x37 31 33 37 36 64 38 33  2d 61 32 39 61 2d 33 32  34 66 2d 39 34 65 39 2d  36 39 36 62 37 32 37 64  31 36 36 62 00 
RVER , 0x41 70 70 6c 65 53 4d 43  46 69 72 6d 77 61 72 65  5f 48 31 36 5f 32 2d 37  33 37 32 2e 30 2e 31 33  31 2e 30 2e 34 2e 64 38  34 2e 52 45 4c 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
SBAC , -0.867000
SBAP , -3.786189
SBAR , 3496.000000
SBAS , 89.000000
SBAU , 90.000000
SBAV , 4.367000
SBC0 , 0x7d 0b b3 0d 53 0e 7c 0e  7f 0e 85 0e 96 0e a5 0e  b2 0e bb 0e c7 0e d5 0e  e1 0e ea 0e f4 0e fe 0e  0a 0f 18 0f 27 0f 39 0f  4c 0f 
SBC1 , 0x6b 0b 9a 0d 3c 0e 6a 0e  6f 0e 76 0e 87 0e 97 0e  a3 0e ae 0e bc 0e cb 0e  db 0e e6 0e f0 0e fc 0e  09 0f 17 0f 27 0f 39 0f  4c 0f 
SBC2 , 0x61 0b 8b 0d 2f 0e 5f 0e  66 0e 6c 0e 7e 0e 8e 0e  9b 0e a7 0e b5 0e c4 0e  d7 0e e3 0e ee 0e fa 0e  07 0f 16 0f 26 0f 38 0f  4c 0f 
SBCK , 46890.000000
SBCS , 0x11 b9 00 00 db fd ff ff  06 ff ff ff 12 00 00 00  8b 16 02 00 
SBCV , 0x40 17 17 00 32 a6 00 00  0b ed ff ff 47 00 00 00  1b 3b 04 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 
SBFC , 0.000000
SBOF , 3810.000000
SBOP , 8902.000000
SBOR , 3392.000000
SBOT , 0.000000
SBOU , 0.000000
SBPF , 0.000000
SBPS , 0.000000
SBRF , 0.102902
SBRR , 148.000000
SBSG , 0.000000
SBSL , 0.009200
SBSO , 3522.000000
SBSR , 0.017928
SBSS , 0.033446
SBST , 0.000000
SBSV , 3430.000000
SBTR , 0.033446
SBVF , 0.000000
SBVR , 0.000000
SDMX , 9.000000
SDNS , 0.000000
SDTA , 0.000000
SDTB , 0.000000
SDTC , 850.119995
SDTD , 0.000000
SDTF , 0.000000
SDTH , 0.000000
SDTL , 310.600494
SDTM , 2175.000000
SDTO , 91.000000
SDTR , 0.000000
SDTS , 0.000000
SDTT , 0.000000
SDTZ , 0.000000
SDTa , 0.000000
SDTh , 0.000000
SDTj , 0.000000
SDTl , 1.000000
SDTo , 0.000000
SDTs , 0.000000
SDTt , 0.000000
SDTu , -127.000000
SDTw , 0.000000
SEB0 , 0x00 00 00 00 
SEB1 , 0x00 00 00 00 
SEB2 , 0x00 00 00 00 
SEB3 , 0x00 00 00 00 
SEC0 , 0x00 00 00 00 
SEF0 , 0x00 00 00 00 
SES0 , 0x00 00 00 00 
SES1 , 0x00 00 00 00 
SES2 , 0x00 00 00 00 
SES3 , 0x00 00 00 00 
SEb0 , 0x00 00 00 00 
SEb1 , 0x00 00 00 00 
SEb2 , 0x00 00 00 00 
SEb3 , 0x00 00 00 00 
SEc0 , 0x00 00 00 00 
SEf0 , 0x00 00 00 00 
SEs0 , 0x00 00 00 00 
SEs1 , 0x00 80 00 00 
SEs2 , 0x00 00 00 00 
SEs3 , 0x00 00 00 00 
SFF0 , 0x00 00 00 00 
SFF1 , 0x00 00 00 00 
SFF2 , 0x00 00 00 00 
SFF3 , 0x00 00 00 00 
SFF4 , 0x00 00 00 00 
SFF5 , 0x00 00 00 00 
SFF6 , 0x00 00 00 00 
SFF7 , 0x00 00 00 00 
SFF8 , 0x00 00 00 00 
SFF9 , 0x00 00 00 00 
SFFA , 0x00 00 00 00 
SFI0 , 0x00 00 00 00 
SFI1 , 0x00 00 00 00 
SMB0 , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
SMB1 , 0x08 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  0c 00 00 00 09 a0 00 10  
SMB2 , 0x37 45 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
TAOC , 32.788574
TAOD , 36.250000
TAOI , 50.054688
TAOJ , 38.430298
TAOP , 33.227295
TB0T , 34.599991
TB0V , 34.399994
TB50 , 0.000000
TB5B , 0.000000
TCHP , 46.720001
TCMb , 70.948624
TCMz , 75.250000
TG0A , 34.699997
TG0B , 34.599991
TG0C , 34.399994
TG0H , 34.399994
TG0V , 34.399994
TKFC , 0.000000
TKFD , 0.000000
TKFF , 0.000000
TKFI , 0.000000
TKFN , 0.000000
TKFP , 48.033340
TKR0 , 0.000000
TKRD , 0.000000
TKRN , 0.000000
TKRS , 0.000000
TKRT , 0.000000
TKRt , 0.000000
